Name,First Name,Last Name,Team,Number of Inj,inj22,Freq Inj,inj days 20-21,inj days 19-20,inj days 18-19,Sus days 22,sus days 20-21,sus days 19-20,sus days 18-19,Career Suspension days,Career INJ days
R. Koch,Robin,Robin,Leeds United,10,124.0,Back Injury,118.0,21.0,52.0,0.0,0.0,0.0,0.0,0.0,315.0
Raphinha,Raphael,Raphael,Leeds United,8,19.0,Groin/Pelvis Injury,39.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0
Rodrigo,Rodrigo,Rodrigo,Leeds United,15,35.0,Knock,98.0,43.0,19.0,0.0,0.0,3.0,3.0,147.0,430.0
T. Roberts,Tyler,Tyler,Leeds United,1,0.0,Illness,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
A. Lookman,Ademola,Ademola,Leicester City,8,16.0,Ankle/Foot Injury,9.0,13.0,47.0,0.0,0.0,0.0,0.0,0.0,181.0
Ayoze Pérez,Ayoze,Ayoze,Leicester City,4,16.0,Calf/Shin Injury,28.0,12.0,0.0,26.0,0.0,0.0,0.0,32.0,56.0
B. Soumaré,Boubakary,Boubakary,Leicester City,1,0.0,Ankle/Foot Injury,0.0,7.0,0.0,0.0,0.0,12.0,0.0,12.0,7.0
D. Amartey,Daniel,Daniel,Leicester City,5,16.0,Ankle/Foot Injury,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,759.0
D. Ward,Danny,Danny,Leicester City,3,0.0,Knock,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,44.0
F. Benković,Filip,Filip,Leicester City,2,18.0,Groin/Pelvis Injury,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0
H. Barnes,Harvey Lewis,Harvey Lewis,Leicester City,2,7.0,Knee Injury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0
H. Choudhury,Hamza,Hamza,Leicester City,1,15.0,Illness,0.0,0.0,0.0,0.0,0.0,7.0,0.0,14.0,15.0
J. Evans,Jonathan Grant,Jonathan Grant,Leicester City,52,84.0,Ankle/Foot Injury,63.0,6.0,30.0,0.0,3.0,0.0,2.0,58.0,735.0
J. Justin,James,James,Leicester City,1,0.0,ACL Knee Ligament Injury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0
J. Maddison,James,James,Leicester City,14,15.0,Knee Injury,62.0,19.0,30.0,0.0,0.0,0.0,5.0,7.0,198.0
J. Vardy,Jamie,Jamie,Leicester City,25,5.0,Groin Strain,46.0,24.0,39.0,0.0,0.0,0.0,16.0,51.0,175.0
J. Vestergaard,Jannik,Jannik,Leicester City,10,43.0,Groin Strain,47.0,32.0,83.0,0.0,0.0,0.0,0.0,0.0,205.0
K. Iheanacho,Kelechi Promise,Kelechi Promise,Leicester City,7,16.0,Toe Injury,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0
K. Schmeichel,Kasper Peter,Kasper Peter,Leicester City,6,0.0,Ankle/Foot Injury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0
M. Albrighton,Marc,Marc,Leicester City,11,29.0,Groin Strain,0.0,12.0,69.0,0.0,0.0,0.0,0.0,13.0,466.0
N. Mendy,Nampalys,Nampalys,Leicester City,9,0.0,Ankle/Foot Injury,6.0,44.0,18.0,0.0,0.0,0.0,0.0,24.0,496.0
P. Daka,Patson,Patson,Leicester City,1,7.0,Thigh Muscle Strain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
R. Bertrand,Ryan,Ryan,Leicester City,23,54.0,Knee Injury,62.0,26.0,83.0,0.0,3.0,11.0,14.0,49.0,540.0
